"Day","Sales","Trading Profit","Operating Expense","Net Profit"
1,0,0,12600,-12600
2,0,0,218520,-218520
3,98808,40428,280140,-239712
4,187940,85002,311760,-226758
5,332649,159911,343380,-183469
6,473418,232967,375354,-142387
7,585739,294624,407922,-113298
8,685606,349104,444102,-94998
9,825773,408937,477938,-69001
10,1505855,706341,512342,193999
11,2158366,1039938,586310,453628
12,2906180,1446895,624494,822401
13,3522344,1729669,667061,1062608
14,4027094,1887570,705653,1181917
15,4091827,1927297,747873,1179424
16,4247302,1998152,786772,1211380
17,6421141,3029586,864992,2164594
18,6544093,3098739,903552,2195187
19,6735912,3186822,946056,2240766
20,7010877,3414753,1050810,2363943
21,7272659,3548801,1094303,2454498
22,7523746,3678366,1143273,2535093
23,7840289,3769830,1186402,2583428
24,8155941,3906045,1229487,2676558
25,8398084,4031746,1278735,2753011
26,9735880,4652931,1366511,3286420
27,9980306,4719075,1409636,3309439
28,10238752,4841588,1477537,3364051
29,10454580,4976052,1523996,3452056
30,10653660,5095958,1572527,3523431
